,Fossil Brown coal/Lignite,Hydro Run-of-river and poundage,Wind Onshore
2022-01-14 19:00:00+01:00,513.32,6.744,0.022
2022-01-14 20:00:00+01:00,474.78000000000003,5.952,0.033
2022-01-14 21:00:00+01:00,497.74000000000007,1.944,0.23099999999999998
2022-01-14 22:00:00+01:00,496.1,3.84,0.253
2022-01-14 23:00:00+01:00,491.18000000000006,4.2,0.19799999999999998
2022-01-15 00:00:00+01:00,464.94000000000005,3.408,0.187
2022-01-15 01:00:00+01:00,327.18,4.488,0.319
2022-01-15 02:00:00+01:00,321.44,2.64,0.121
2022-01-15 03:00:00+01:00,332.1,1.512,0.10999999999999999
2022-01-15 04:00:00+01:00,335.38000000000005,1.488,0.19799999999999998
2022-01-15 05:00:00+01:00,384.58000000000004,0.504,0.34099999999999997
2022-01-15 06:00:00+01:00,473.14000000000004,0.024,0.34099999999999997
2022-01-15 07:00:00+01:00,466.58000000000004,0.0,0.34099999999999997
2022-01-15 08:00:00+01:00,469.86,0.0,0.32999999999999996
2022-01-15 09:00:00+01:00,510.04,0.024,0.363
2022-01-15 10:00:00+01:00,504.3,0.40800000000000003,0.374
2022-01-15 11:00:00+01:00,501.84000000000003,0.6960000000000001,0.374
2022-01-15 12:00:00+01:00,497.74000000000007,0.72,0.374
2022-01-15 13:00:00+01:00,511.68000000000006,0.744,0.374
2022-01-15 14:00:00+01:00,516.6,1.416,0.374
2022-01-15 15:00:00+01:00,510.04,1.848,0.374
2022-01-15 16:00:00+01:00,511.68000000000006,1.848,0.374
2022-01-15 17:00:00+01:00,512.5,2.592,0.374
2022-01-15 18:00:00+01:00,509.22,2.208,0.374
2022-01-15 19:00:00+01:00,506.76000000000005,1.416,0.374
2022-01-15 20:00:00+01:00,515.7800000000001,1.248,0.374
2022-01-15 21:00:00+01:00,508.40000000000003,1.272,0.374
2022-01-15 22:00:00+01:00,505.94000000000005,3.3120000000000003,0.374
2022-01-15 23:00:00+01:00,497.74000000000007,3.864,0.374
2022-01-16 00:00:00+01:00,469.04,2.568,0.374
2022-01-16 01:00:00+01:00,330.46000000000004,4.752,0.374
2022-01-16 02:00:00+01:00,329.64000000000004,3.2880000000000003,0.374
2022-01-16 03:00:00+01:00,328.0,1.944,0.363
2022-01-16 04:00:00+01:00,328.82000000000005,1.44,0.374
2022-01-16 05:00:00+01:00,384.58000000000004,0.12,0.363
2022-01-16 06:00:00+01:00,467.40000000000003,0.0,0.363
2022-01-16 07:00:00+01:00,498.56000000000006,0.0,0.363
2022-01-16 08:00:00+01:00,508.40000000000003,0.384,0.363
2022-01-16 09:00:00+01:00,519.88,1.2,0.34099999999999997
2022-01-16 10:00:00+01:00,532.1800000000001,2.952,0.176
2022-01-16 11:00:00+01:00,528.08,3.384,0.066
2022-01-16 12:00:00+01:00,533.0,3.384,0.011
2022-01-16 13:00:00+01:00,534.64,3.408,0.0
2022-01-16 14:00:00+01:00,529.72,3.408,0.0
2022-01-16 15:00:00+01:00,530.5400000000001,3.8160000000000003,0.0
2022-01-16 16:00:00+01:00,520.7,4.2,0.0
2022-01-16 17:00:00+01:00,523.98,4.848,0.011
2022-01-16 18:00:00+01:00,525.62,4.5360000000000005,0.0
2022-01-16 19:00:00+01:00,523.98,4.32,0.0
2022-01-16 20:00:00+01:00,524.8000000000001,3.888,0.0
2022-01-16 21:00:00+01:00,518.24,3.744,0.0
2022-01-16 22:00:00+01:00,500.20000000000005,4.272,0.0
2022-01-16 23:00:00+01:00,506.76000000000005,3.336,0.0
2022-01-17 00:00:00+01:00,480.52000000000004,1.8,0.0
2022-01-17 01:00:00+01:00,344.40000000000003,3.504,0.0
2022-01-17 02:00:00+01:00,343.58000000000004,1.872,0.0
2022-01-17 03:00:00+01:00,337.02000000000004,0.504,0.011
2022-01-17 04:00:00+01:00,341.94,0.504,0.011
2022-01-17 05:00:00+01:00,426.40000000000003,0.504,0.077
2022-01-17 06:00:00+01:00,505.12000000000006,2.424,0.253
2022-01-17 07:00:00+01:00,514.14,2.88,0.34099999999999997
2022-01-17 08:00:00+01:00,517.4200000000001,3.36,0.374
2022-01-17 09:00:00+01:00,513.32,4.416,0.374
2022-01-17 10:00:00+01:00,529.72,5.184,0.374
2022-01-17 11:00:00+01:00,537.9200000000001,5.256,0.374
2022-01-17 12:00:00+01:00,537.9200000000001,5.088,0.374
2022-01-17 13:00:00+01:00,536.2800000000001,5.232,0.352
2022-01-17 14:00:00+01:00,528.9000000000001,5.856,0.363
2022-01-17 15:00:00+01:00,528.9000000000001,6.384,0.39599999999999996
2022-01-17 16:00:00+01:00,519.0600000000001,7.272,0.39599999999999996
2022-01-17 17:00:00+01:00,518.24,7.656000000000001,0.39599999999999996
2022-01-17 18:00:00+01:00,513.32,7.656000000000001,0.38499999999999995
2022-01-17 19:00:00+01:00,515.7800000000001,7.296,0.39599999999999996
2022-01-17 20:00:00+01:00,514.96,7.056,0.39599999999999996
2022-01-17 21:00:00+01:00,519.0600000000001,1.776,0.38499999999999995
2022-01-17 22:00:00+01:00,510.04,4.416,0.38499999999999995
2022-01-17 23:00:00+01:00,510.04,4.5360000000000005,0.38499999999999995
2022-01-22 00:00:00+01:00,0.0,0.0,0.0
2022-01-22 01:00:00+01:00,0.0,0.0,0.0
2022-01-22 02:00:00+01:00,0.0,0.0,0.0
2022-01-22 03:00:00+01:00,0.0,0.0,0.0
2022-01-22 04:00:00+01:00,0.0,0.0,0.0
2022-01-22 05:00:00+01:00,0.0,0.0,0.0
2022-01-22 06:00:00+01:00,0.0,0.0,0.0
2022-01-22 07:00:00+01:00,0.0,0.0,0.0
2022-01-22 08:00:00+01:00,0.0,0.0,0.0
2022-01-22 09:00:00+01:00,0.0,0.0,0.0
2022-01-22 10:00:00+01:00,0.0,0.0,0.0
2022-01-22 11:00:00+01:00,0.0,0.0,0.0
2022-01-22 12:00:00+01:00,0.0,0.0,0.0
2022-01-22 13:00:00+01:00,0.0,0.0,0.0
2022-01-22 14:00:00+01:00,0.0,0.0,0.0
2022-01-22 15:00:00+01:00,0.0,0.0,0.0
2022-01-22 16:00:00+01:00,0.0,0.0,0.0
2022-01-22 17:00:00+01:00,0.0,0.0,0.0
2022-01-22 18:00:00+01:00,0.0,0.0,0.0
2022-01-22 19:00:00+01:00,0.0,0.0,0.0
2022-01-22 20:00:00+01:00,0.0,0.0,0.0
2022-01-22 21:00:00+01:00,0.0,0.0,0.0
2022-01-22 22:00:00+01:00,0.0,0.0,0.0
2022-01-22 23:00:00+01:00,0.0,0.0,0.0
2022-01-23 00:00:00+01:00,0.0,0.0,0.0
2022-01-23 01:00:00+01:00,0.0,0.0,0.0
2022-01-23 02:00:00+01:00,0.0,0.0,0.0
2022-01-23 03:00:00+01:00,0.0,0.0,0.0
2022-01-23 04:00:00+01:00,0.0,0.0,0.0
2022-01-23 05:00:00+01:00,0.0,0.0,0.0
2022-01-23 06:00:00+01:00,0.0,0.0,0.0
2022-01-23 07:00:00+01:00,0.0,0.0,0.0
2022-01-23 08:00:00+01:00,0.0,0.0,0.0
2022-01-23 09:00:00+01:00,0.0,0.0,0.0
2022-01-23 10:00:00+01:00,0.0,0.0,0.0
2022-01-23 11:00:00+01:00,0.0,0.0,0.0
