,Fossil Gas,Hydro Water Reservoir,Marine,Nuclear,Other,Solar,Wind Onshore
2021-12-13 02:00:00+01:00,,10188.0,,6987.0,1644.0,,1471.0
2021-12-13 03:00:00+01:00,,10327.0,,6988.0,1650.0,,1497.0
2021-12-13 04:00:00+01:00,,10391.0,,6988.0,1660.0,,1507.0
2021-12-13 05:00:00+01:00,,10672.0,,6986.0,1694.0,,1529.0
2021-12-13 06:00:00+01:00,,11446.0,,6985.0,1800.0,,1585.0
2021-12-13 07:00:00+01:00,,11738.0,,6985.0,1952.0,,1613.0
2021-12-13 08:00:00+01:00,,11700.0,,6985.0,1902.0,,1652.0
2021-12-13 09:00:00+01:00,,11875.0,,6987.0,1950.0,,1669.0
2021-12-13 10:00:00+01:00,,11523.0,,6986.0,2000.0,,1728.0
2021-12-13 11:00:00+01:00,,11274.0,,6980.0,2008.0,,1893.0
2021-12-13 12:00:00+01:00,,11189.0,,6980.0,1952.0,,2126.0
2021-12-13 13:00:00+01:00,,11104.0,,6980.0,1938.0,,2510.0
2021-12-13 14:00:00+01:00,,11137.0,,6982.0,1941.0,,2894.0
2021-12-13 15:00:00+01:00,,11161.0,,6983.0,1943.0,,3235.0
2021-12-13 16:00:00+01:00,,11071.0,,6984.0,1954.0,,3502.0
2021-12-13 17:00:00+01:00,,10795.0,,6985.0,1962.0,,3759.0
2021-12-13 18:00:00+01:00,,10632.0,,6984.0,1960.0,,3746.0
2021-12-13 19:00:00+01:00,,10527.0,,6985.0,1955.0,,3664.0
2021-12-13 20:00:00+01:00,,10572.0,,6983.0,1640.0,,3439.0
2021-12-13 21:00:00+01:00,,10460.0,,6980.0,1597.0,,3344.0
2021-12-13 22:00:00+01:00,,10349.0,,6981.0,1573.0,,3212.0
2021-12-13 23:00:00+01:00,,10348.0,,6981.0,1476.0,,3155.0
2021-12-14 00:00:00+01:00,,9999.0,,6981.0,1318.0,,2939.0
2021-12-14 01:00:00+01:00,,9306.0,,6983.0,1311.0,,2876.0
2021-12-14 02:00:00+01:00,,9131.0,,6985.0,1295.0,,2759.0
2021-12-14 03:00:00+01:00,,9115.0,,6988.0,1297.0,,2704.0
2021-12-14 04:00:00+01:00,,9482.0,,6988.0,1371.0,,2798.0
2021-12-14 05:00:00+01:00,,10007.0,,6986.0,1522.0,,2932.0
2021-12-14 06:00:00+01:00,,10409.0,,6987.0,1614.0,,3012.0
2021-12-14 07:00:00+01:00,,10816.0,,6985.0,1693.0,,3059.0
2021-12-14 08:00:00+01:00,,11060.0,,6985.0,1694.0,,3033.0
2021-12-14 09:00:00+01:00,,10894.0,,6985.0,1698.0,,3211.0
2021-12-14 10:00:00+01:00,,10875.0,,6983.0,1656.0,,3330.0
2021-12-14 11:00:00+01:00,,11018.0,,6985.0,1684.0,,3448.0
2021-12-14 12:00:00+01:00,,11087.0,,6987.0,1685.0,,3459.0
2021-12-14 13:00:00+01:00,,11190.0,,6987.0,1691.0,,3503.0
2021-12-14 14:00:00+01:00,,11046.0,,6988.0,1695.0,,3664.0
2021-12-14 15:00:00+01:00,,10822.0,,6987.0,1709.0,,3887.0
2021-12-14 16:00:00+01:00,,10623.0,,6986.0,1706.0,,4107.0
2021-12-14 17:00:00+01:00,,10165.0,,6988.0,1712.0,,4573.0
2021-12-14 18:00:00+01:00,,9876.0,,6988.0,1684.0,,5117.0
2021-12-14 19:00:00+01:00,,9268.0,,6988.0,1708.0,,5616.0
2021-12-14 20:00:00+01:00,,8886.0,,6988.0,1579.0,,6156.0
2021-12-14 21:00:00+01:00,,8352.0,,6988.0,1538.0,,6806.0
2021-12-14 22:00:00+01:00,,7817.0,,6989.0,1523.0,,7134.0
2021-12-14 23:00:00+01:00,,7449.0,,6985.0,1447.0,,7361.0
2021-12-15 00:00:00+01:00,0.0,8035.0,0.0,6971.0,1263.0,0.0,7580.0
2021-12-15 01:00:00+01:00,0.0,8370.0,0.0,6969.0,1179.0,0.0,7682.0
2021-12-15 02:00:00+01:00,0.0,8254.0,0.0,6970.0,1165.0,0.0,7600.0
2021-12-15 03:00:00+01:00,0.0,8260.0,0.0,6968.0,1176.0,0.0,7507.0
2021-12-15 04:00:00+01:00,0.0,8594.0,0.0,6970.0,1218.0,0.0,7719.0
2021-12-15 05:00:00+01:00,0.0,8846.0,0.0,6970.0,1316.0,0.0,7675.0
2021-12-15 06:00:00+01:00,0.0,9588.0,0.0,6969.0,1422.0,0.0,7648.0
2021-12-15 07:00:00+01:00,0.0,11702.0,0.0,6970.0,1518.0,0.0,7622.0
